Execution times in seconds 
82.473
101.547
77.779
41.822
41.544
42.643
43.072
41.501
40.41
41.605


 Best makespans 
56917.0 35994.0
57165.0 35427.0
57575.0 35121.0
57996.0 34897.0
59582.0 34679.0
59625.0 34572.0
59668.0 34437.0
60009.0 34192.0
60426.0 33935.0
60726.0 33183.0
61106.0 33076.0
61303.0 32864.0
62308.0 32805.0
63137.0 32580.0
63372.0 32328.0
64070.0 32081.0
65005.0 32006.0
65254.0 31356.0
66282.0 30737.0
66670.0 30735.0
66727.0 30521.0
67306.0 30246.0
67953.0 30188.0
68485.0 29597.0
68603.0 29553.0
69476.0 29105.0
69600.0 28844.0
70293.0 28791.0
70427.0 28655.0
70519.0 28500.0
70890.0 28499.0
71321.0 28382.0
71651.0 28351.0
72652.0 28036.0
73093.0 28014.0
73201.0 27184.0
74186.0 26951.0
74533.0 26754.0
75931.0 26731.0
76904.0 26597.0
76944.0 26588.0
77915.0 26348.0
79159.0 25890.0
81592.0 25847.0
82227.0 25696.0
82653.0 25644.0
83080.0 25616.0
83978.0 25400.0
85969.0 25256.0
87501.0 25073.0
88010.0 25038.0
88088.0 24406.0
88375.0 24320.0
91890.0 24154.0
92363.0 23782.0
94081.0 23712.0
95734.0 23427.0
96200.0 23401.0
96369.0 23278.0
96743.0 23109.0
98129.0 23061.0
98643.0 23004.0
99863.0 22891.0
100858.0 22852.0
101742.0 22753.0
103062.0 22691.0
107039.0 22445.0
107710.0 22144.0
107733.0 21983.0
109987.0 21875.0
110558.0 21525.0
110942.0 21426.0
111138.0 21331.0
113892.0 21325.0
114062.0 21105.0
115887.0 21076.0
116434.0 20959.0
117756.0 20611.0
118503.0 20490.0
122158.0 20314.0
122795.0 20131.0
127620.0 19543.0
128595.0 19203.0
136236.0 18920.0
138882.0 18544.0
140084.0 18428.0
143148.0 18228.0
146303.0 17784.0
148843.0 17711.0
151406.0 17039.0
164268.0 16883.0
172528.0 16703.0

39427.0 48839.0
39551.0 48471.0
39667.0 48217.0
39870.0 47784.0
40011.0 47348.0
40086.0 46724.0
40743.0 46700.0
41107.0 46106.0
41976.0 45990.0
42826.0 45414.0
42922.0 45101.0
43202.0 44470.0
44106.0 44462.0
44137.0 43382.0
44208.0 43226.0
44449.0 43052.0
44635.0 43005.0
45126.0 42756.0
46059.0 42473.0
47041.0 42314.0
47060.0 42187.0
47231.0 41898.0
47755.0 41707.0
48180.0 41366.0
48735.0 40842.0
49190.0 40202.0
49207.0 40139.0
49915.0 40119.0
50063.0 40034.0
50451.0 39802.0
50778.0 39754.0
51018.0 39667.0
51261.0 39560.0
51368.0 39218.0
51519.0 38321.0
52236.0 38089.0
53052.0 38056.0
53244.0 37618.0
53531.0 37598.0
54438.0 37575.0
54777.0 37506.0
56215.0 37054.0
56268.0 37028.0
56320.0 37022.0
56393.0 36746.0
56727.0 36236.0
56871.0 36219.0
56919.0 36216.0
57332.0 35558.0
57802.0 35475.0
58679.0 35324.0
59288.0 35167.0
59321.0 34731.0
59374.0 34730.0
59404.0 34614.0
59775.0 34374.0
59883.0 34080.0
61203.0 34051.0
61482.0 33829.0
61503.0 33630.0
62572.0 32418.0
62665.0 32080.0
63218.0 31926.0
64730.0 31701.0
64893.0 31555.0
65091.0 31106.0
65725.0 31045.0
66719.0 30763.0
66744.0 30687.0
67545.0 29878.0
68346.0 29848.0
69089.0 29506.0
69323.0 29391.0
69502.0 29336.0
69541.0 29084.0
70026.0 28816.0
70037.0 28524.0
70408.0 28403.0
72155.0 28119.0
72320.0 27844.0
73091.0 27207.0
74663.0 27061.0
75150.0 27055.0
75160.0 26905.0
76548.0 26775.0
77034.0 26530.0
79218.0 26446.0
79248.0 26258.0
79450.0 26240.0
79677.0 26123.0
80702.0 26036.0
81151.0 25948.0
81720.0 25658.0
82633.0 25540.0
83576.0 25228.0
83651.0 25063.0
86769.0 24995.0
87095.0 24964.0
87604.0 24834.0
90047.0 24685.0
91280.0 24490.0
91873.0 24442.0
92178.0 24371.0
93178.0 24364.0
93681.0 24294.0
93950.0 23894.0
95361.0 23855.0
95423.0 23667.0
96848.0 23661.0
97078.0 23351.0
98525.0 22963.0
101117.0 22763.0
102135.0 22653.0
103932.0 22581.0
104935.0 22376.0
106616.0 22321.0
106754.0 22310.0
108229.0 22206.0
108277.0 22015.0
109850.0 21814.0
110488.0 21389.0
